sgRNA,Gene,initial.count,final.count
1,1,120,414
2,1,121,459
3,1,268,907
4,1,15,192
5,2,75,709
6,2,108,214
7,2,159,803
8,2,135,913
9,3,161,376
10,3,235,736
11,3,294,187
12,3,268,816
13,4,163,760
14,4,148,423
15,4,168,156
16,4,318,1324
17,5,307,1507
18,5,39,175
19,5,229,2246
20,5,36,100
21,6,118,104
22,6,183,1097
23,6,91,239
24,6,179,641
25,7,287,2463
26,7,158,303
27,7,46,35
28,7,149,1168
29,8,50,6
30,8,100,368
31,8,53,531
32,8,131,445
33,9,106,383
34,9,50,234
35,9,22,63
36,9,51,140
37,10,164,778
38,10,115,1021
39,10,146,138
40,10,120,221
41,11,136,494
42,11,189,635
43,11,49,198
44,11,56,236
45,12,99,186
46,12,36,26
47,12,76,174
48,12,101,160
49,13,81,77
50,13,46,153
51,13,132,73
52,13,130,737
53,14,254,1002
54,14,261,594
55,14,126,459
56,14,307,1817
57,15,159,237
58,15,123,1109
59,15,4,117
60,15,280,127
61,16,75,543
62,16,196,259
63,16,138,247
64,16,28,115
65,17,159,825
66,17,105,579
67,17,107,117
68,17,138,133
69,18,214,1106
70,18,317,612
71,18,171,126
72,18,189,545
73,19,75,28
74,19,117,204
75,19,136,220
76,19,77,275
77,20,29,299
78,20,39,155
79,20,76,178
80,20,197,581
81,21,72,137
82,21,125,679
83,21,184,1242
84,21,204,881
85,22,104,101
86,22,123,420
87,22,139,865
88,22,46,239
89,23,41,119
90,23,344,230
91,23,126,707
92,23,154,598
93,24,89,612
94,24,233,722
95,24,103,883
96,24,0,9
97,25,5,40
98,25,57,556
99,25,8,19
100,25,181,473
101,26,101,105
102,26,23,205
103,26,237,1693
104,26,154,1156
105,27,194,922
106,27,108,112
107,27,148,1110
108,27,95,86
109,28,148,323
110,28,306,876
111,28,134,806
112,28,9,4
113,29,202,670
114,29,96,327
115,29,32,3
116,29,125,268
117,30,112,666
118,30,10,102
119,30,200,1256
120,30,60,455
121,31,115,720
122,31,144,443
123,31,235,502
124,31,40,502
125,32,99,449
126,32,90,731
127,32,224,1022
128,32,40,87
129,33,164,64
130,33,34,142
131,33,257,1473
132,33,68,260
